date,likes,hour,day_of_week,day_category,hours_since_last_post
2006-12-02 10:02:00,2889,10,5,0,
2006-12-05 00:31:00,591,0,1,3,62.483333333333334
2006-12-08 17:18:00,358,17,4,1,88.78333333333333
2006-12-08 17:55:00,201,17,4,1,0.6166666666666667
2006-12-08 19:18:00,175,19,4,2,1.3833333333333333
2006-12-09 00:38:00,118,0,5,3,5.333333333333333
2006-12-11 00:35:00,317,0,0,3,47.95
2006-12-14 04:35:00,168,4,3,3,76.0
2006-12-21 04:30:00,116,4,3,3,167.91666666666666
2007-01-10 02:07:00,101,2,2,3,477.6166666666667
2007-01-11 18:41:00,133,18,3,2,40.56666666666667
2007-01-12 19:31:00,78,19,4,2,24.833333333333332
2007-01-16 18:01:00,82,18,1,2,94.5
2007-01-18 15:51:00,65,15,3,1,45.833333333333336
2007-01-19 21:26:00,61,21,4,2,29.583333333333332
2007-01-19 21:29:00,72,21,4,2,0.05
2007-01-19 22:25:00,65,22,4,2,0.9333333333333333
2007-01-21 20:28:00,60,20,6,2,46.05
2007-01-28 20:46:00,62,20,6,2,168.3
2007-01-28 23:06:00,94,23,6,2,2.3333333333333335
2007-01-29 17:59:00,92,17,0,1,18.883333333333333
2007-01-29 18:56:00,48,18,0,2,0.95
2007-01-30 04:04:00,61,4,1,3,9.133333333333333
2007-01-31 02:35:00,61,2,2,3,22.516666666666666
2007-01-31 02:39:00,188,2,2,3,0.06666666666666667
2007-01-31 02:39:00,64,2,2,3,0.0
2007-01-31 15:21:00,82,15,2,1,12.7
2007-01-31 16:59:00,55,16,2,1,1.6333333333333333
2007-01-31 22:48:00,48,22,2,2,5.816666666666666
2007-01-31 23:25:00,48,23,2,2,0.6166666666666667
2007-02-01 01:19:00,60,1,3,3,1.9
2007-02-01 02:19:00,103,2,3,3,1.0
2007-02-01 03:11:00,52,3,3,3,0.8666666666666667
2007-02-01 04:08:00,43,4,3,3,0.95
2007-02-01 05:18:00,57,5,3,3,1.1666666666666667
2007-02-01 20:59:00,44,20,3,2,15.683333333333334
2007-02-03 05:30:00,40,5,5,3,32.516666666666666
2007-02-03 05:31:00,39,5,5,3,0.016666666666666666
2007-02-03 19:38:00,44,19,5,2,14.116666666666667
2007-02-04 01:23:00,38,1,6,3,5.75
2007-02-04 11:55:00,37,11,6,0,10.533333333333333
2007-02-06 15:19:00,35,15,1,1,51.4
2007-02-06 15:21:00,43,15,1,1,0.03333333333333333
2007-02-06 15:40:00,33,15,1,1,0.31666666666666665
2007-02-06 19:34:00,48,19,1,2,3.9
2007-02-08 17:26:00,28,17,3,1,45.86666666666667
2007-02-08 23:13:00,31,23,3,2,5.783333333333333
2007-02-09 03:48:00,34,3,4,3,4.583333333333333
2007-02-09 03:52:00,32,3,4,3,0.06666666666666667
2007-02-09 15:18:00,24,15,4,1,11.433333333333334
2007-02-09 17:14:00,25,17,4,1,1.9333333333333333
2007-02-09 19:42:00,30,19,4,2,2.466666666666667
2007-02-14 00:12:00,34,0,2,3,100.5
2007-02-14 09:56:00,25,9,2,0,9.733333333333333
2007-02-15 15:21:00,25,15,3,1,29.416666666666668
2007-02-15 21:40:00,34,21,3,2,6.316666666666666
2007-02-15 23:05:00,23,23,3,2,1.4166666666666667
2007-02-16 20:24:00,23,20,4,2,21.316666666666666
2007-02-17 23:12:00,28,23,5,2,26.8
2007-02-18 02:12:00,23,2,6,3,3.0
2007-02-18 03:31:00,24,3,6,3,1.3166666666666667
2007-02-18 20:08:00,56,20,6,2,16.616666666666667
2007-02-19 20:39:00,19,20,0,2,24.516666666666666
2007-02-20 01:02:00,19,1,1,3,4.383333333333334
2007-02-20 23:03:00,45,23,1,2,22.016666666666666
2007-02-21 00:31:00,21,0,2,3,1.4666666666666666
2007-02-21 01:19:00,26,1,2,3,0.8
2007-02-21 18:11:00,18,18,2,2,16.866666666666667
2007-02-22 22:12:00,19,22,3,2,28.016666666666666
2007-02-25 13:45:00,23,13,6,1,63.55
2007-02-26 02:54:00,20,2,0,3,13.15
2007-03-01 22:44:00,24,22,3,2,91.83333333333333
2007-03-01 23:44:00,41,23,3,2,1.0
2007-03-02 16:54:00,21,16,4,1,17.166666666666668
2007-03-04 15:48:00,23,15,6,1,46.9
2007-03-05 00:04:00,23,0,0,3,8.266666666666667
2007-03-06 02:36:00,19,2,1,3,26.533333333333335
2007-03-06 23:18:00,20,23,1,2,20.7
2007-03-08 22:11:00,20,22,3,2,46.88333333333333
2007-03-08 23:36:00,93,23,3,2,1.4166666666666667
2007-03-09 00:08:00,39,0,4,3,0.5333333333333333
2007-03-09 02:04:00,509,2,4,3,1.9333333333333333
2007-03-09 23:49:00,28,23,4,2,21.75
2007-03-09 23:56:00,25,23,4,2,0.11666666666666667
2007-03-10 00:07:00,1614,0,5,3,0.18333333333333332
2007-03-10 01:19:00,20,1,5,3,1.2
2007-03-10 02:43:00,25,2,5,3,1.4
2007-03-10 03:02:00,22,3,5,3,0.31666666666666665
2007-03-11 01:01:00,26,1,6,3,21.983333333333334
2007-03-11 16:45:00,20,16,6,1,15.733333333333333
2007-03-14 23:03:00,177,23,2,2,78.3
2007-03-15 22:54:00,32,22,3,2,23.85
2007-03-16 01:45:00,20,1,4,3,2.85
2007-03-18 01:33:00,20,1,6,3,47.8
2007-03-18 03:01:00,18,3,6,3,1.4666666666666666
2007-03-18 14:50:00,25,14,6,1,11.816666666666666
2007-03-20 20:18:00,16,20,1,2,53.46666666666667
2007-03-24 02:46:00,38,2,5,3,78.46666666666667
2007-03-24 16:27:00,21,16,5,1,13.683333333333334
2007-03-27 18:07:00,12154,18,1,2,73.66666666666667
2007-03-28 03:20:00,20,3,2,3,9.216666666666667
2007-03-30 02:49:00,21,2,4,3,47.483333333333334
2007-04-01 00:52:00,18,0,6,3,46.05
2007-04-01 16:02:00,61,16,6,1,15.166666666666666
2007-04-01 23:05:00,30,23,6,2,7.05
2007-04-02 00:39:00,20,0,0,3,1.5666666666666667
2007-04-02 03:19:00,18,3,0,3,2.6666666666666665
2007-04-02 19:52:00,17,19,0,2,16.55
2007-04-02 21:42:00,18,21,0,2,1.8333333333333333
2007-04-05 01:46:00,34,1,3,3,52.06666666666667
2007-04-05 16:14:00,19,16,3,1,14.466666666666667
2007-04-05 18:32:00,28,18,3,2,2.3
2007-04-06 14:22:00,24,14,4,1,19.833333333333332
2007-04-06 15:11:00,38,15,4,1,0.8166666666666667
2007-04-06 21:41:00,32,21,4,2,6.5
2007-04-10 21:00:00,34,21,1,2,95.31666666666666
2007-04-10 23:21:00,25,23,1,2,2.35
2007-04-11 19:14:00,16,19,2,2,19.883333333333333
2007-04-12 12:53:00,14,12,3,1,17.65
2007-04-12 12:54:00,14,12,3,1,0.016666666666666666
2007-04-13 00:14:00,16,0,4,3,11.333333333333334
2007-04-13 00:14:00,18,0,4,3,0.0
2007-04-13 01:29:00,16,1,4,3,1.25
2007-04-13 12:41:00,37,12,4,1,11.2
2007-04-13 17:43:00,18,17,4,1,5.033333333333333
2007-04-13 19:31:00,17,19,4,2,1.8
2007-04-15 01:36:00,16,1,6,3,30.083333333333332
2007-04-15 21:52:00,19,21,6,2,20.266666666666666
2007-04-17 02:51:00,17,2,1,3,28.983333333333334
2007-04-18 02:35:00,17,2,2,3,23.733333333333334
2007-04-18 17:25:00,14,17,2,1,14.833333333333334
2007-04-20 01:21:00,156,1,4,3,31.933333333333334
2007-04-20 12:57:00,17,12,4,1,11.6
2007-04-20 14:40:00,15,14,4,1,1.7166666666666666
2007-04-20 23:31:00,20,23,4,2,8.85
2007-04-21 00:40:00,15,0,5,3,1.15
2007-04-21 03:09:00,16,3,5,3,2.4833333333333334
2007-04-21 13:49:00,15,13,5,1,10.666666666666666
2007-04-21 20:08:00,16,20,5,2,6.316666666666666
2007-04-22 02:03:00,18,2,6,3,5.916666666666667
2007-04-22 02:41:00,16,2,6,3,0.6333333333333333
2007-04-22 02:53:00,14,2,6,3,0.2
2007-04-23 02:50:00,17,2,0,3,23.95
2007-04-23 18:20:00,16,18,0,2,15.5
2007-04-25 01:30:00,15,1,2,3,31.166666666666668
2007-04-25 01:31:00,18,1,2,3,0.016666666666666666
2007-04-25 01:55:00,26,1,2,3,0.4
2007-04-25 23:07:00,18,23,2,2,21.2
2007-04-25 23:20:00,16,23,2,2,0.21666666666666667
2007-04-26 15:31:00,18,15,3,1,16.183333333333334
2007-04-26 20:37:00,15,20,3,2,5.1
2007-04-26 21:46:00,15,21,3,2,1.15
2007-04-26 22:17:00,18,22,3,2,0.5166666666666667
2007-04-26 23:42:00,18,23,3,2,1.4166666666666667
2007-04-26 23:50:00,24,23,3,2,0.13333333333333333
2007-04-27 13:48:00,18,13,4,1,13.966666666666667
2007-04-27 21:03:00,14,21,4,2,7.25
2007-04-28 00:29:00,14,0,5,3,3.433333333333333
2007-04-30 19:25:00,13,19,0,2,66.93333333333334
2007-05-01 01:06:00,25,1,1,3,5.683333333333334
2007-05-01 01:45:00,93,1,1,3,0.65
2007-05-01 18:51:00,18,18,1,2,17.1
2007-05-01 23:05:00,14,23,1,2,4.233333333333333
2007-05-02 00:11:00,60,0,2,3,1.1
2007-05-02 19:57:00,89,19,2,2,19.766666666666666
2007-05-03 17:47:00,16,17,3,1,21.833333333333332
2007-05-03 22:31:00,18,22,3,2,4.733333333333333
2007-05-04 15:27:00,17,15,4,1,16.933333333333334
2007-05-09 00:45:00,28,0,2,3,105.3
2007-05-12 01:11:00,12,1,5,3,72.43333333333334
2007-05-13 02:09:00,17,2,6,3,24.966666666666665
2007-05-14 01:58:00,22,1,0,3,23.816666666666666
2007-05-17 21:11:00,44,21,3,2,91.21666666666667
2007-05-18 00:44:00,13,0,4,3,3.55
2007-05-18 03:29:00,13,3,4,3,2.75
2007-05-18 03:34:00,18,3,4,3,0.08333333333333333
2007-05-18 22:35:00,21,22,4,2,19.016666666666666
2007-05-19 02:11:00,13,2,5,3,3.6
2007-05-19 02:48:00,13,2,5,3,0.6166666666666667
2007-05-19 06:44:00,15,6,5,0,3.933333333333333
2007-05-19 15:36:00,12,15,5,1,8.866666666666667
2007-05-19 17:56:00,14,17,5,1,2.3333333333333335
2007-05-19 20:58:00,83,20,5,2,3.033333333333333
2007-05-20 00:59:00,14,0,6,3,4.016666666666667
2007-05-20 01:20:00,27,1,6,3,0.35
2007-05-20 15:24:00,14,15,6,1,14.066666666666666
2007-05-20 16:08:00,14,16,6,1,0.7333333333333333
2007-05-20 16:20:00,12,16,6,1,0.2
2007-05-20 20:43:00,14,20,6,2,4.383333333333334
2007-05-20 21:39:00,12,21,6,2,0.9333333333333333
2007-05-21 09:02:00,11,9,0,0,11.383333333333333
2007-05-22 12:51:00,11,12,1,1,27.816666666666666
2007-05-22 13:49:00,12,13,1,1,0.9666666666666667
2007-05-22 16:12:00,12,16,1,1,2.3833333333333333
2007-05-23 00:01:00,11,0,2,3,7.816666666666666
2007-05-23 03:20:00,18,3,2,3,3.316666666666667
2007-05-23 16:04:00,16,16,2,1,12.733333333333333
2007-05-24 01:17:00,13,1,3,3,9.216666666666667
2007-05-24 01:31:00,12,1,3,3,0.23333333333333334
2007-05-24 03:42:00,13,3,3,3,2.183333333333333
2007-05-24 14:42:00,12,14,3,1,11.0
2007-05-24 15:58:00,20,15,3,1,1.2666666666666666
2007-05-27 16:58:00,23,16,6,1,73.0
2007-05-27 17:43:00,15,17,6,1,0.75
2007-05-27 17:47:00,12,17,6,1,0.06666666666666667
2007-05-27 18:44:00,12,18,6,2,0.95
2007-05-28 23:11:00,20,23,0,2,28.45
2007-05-28 23:12:00,13,23,0,2,0.016666666666666666
2007-05-29 00:35:00,13,0,1,3,1.3833333333333333
2007-05-29 21:21:00,14,21,1,2,20.766666666666666
2007-05-29 23:44:00,13,23,1,2,2.3833333333333333
2007-05-30 02:13:00,16,2,2,3,2.4833333333333334
2007-05-30 02:17:00,12,2,2,3,0.06666666666666667
2007-05-30 14:01:00,12,14,2,1,11.733333333333333
2007-06-01 00:05:00,11,0,4,3,34.06666666666667
2007-06-01 02:31:00,11,2,4,3,2.433333333333333
2007-06-01 21:31:00,24,21,4,2,19.0
2007-06-01 23:34:00,12,23,4,2,2.05
2007-06-02 00:44:00,34,0,5,3,1.1666666666666667
2007-06-02 01:10:00,13,1,5,3,0.43333333333333335
2007-06-02 01:13:00,13,1,5,3,0.05
2007-06-03 02:02:00,12,2,6,3,24.816666666666666
2007-06-03 02:25:00,12,2,6,3,0.38333333333333336
2007-06-03 02:35:00,12,2,6,3,0.16666666666666666
2007-06-03 03:35:00,12,3,6,3,1.0
2007-06-03 17:17:00,32,17,6,1,13.7
2007-06-05 03:54:00,10,3,1,3,34.61666666666667
2007-06-05 04:54:00,11,4,1,3,1.0
2007-06-06 17:34:00,13,17,2,1,36.666666666666664
2007-06-06 22:48:00,11,22,2,2,5.233333333333333
2007-06-06 23:32:00,11,23,2,2,0.7333333333333333
2007-06-07 01:02:00,14,1,3,3,1.5
2007-06-07 03:36:00,19,3,3,3,2.566666666666667
2007-06-09 15:31:00,12,15,5,1,59.916666666666664
2007-06-09 16:17:00,10,16,5,1,0.7666666666666667
2007-06-09 22:56:00,12,22,5,2,6.65
2007-06-09 23:27:00,11,23,5,2,0.5166666666666667
2007-06-10 15:24:00,13,15,6,1,15.95
2007-06-10 15:25:00,20,15,6,1,0.016666666666666666
2007-06-10 20:23:00,10,20,6,2,4.966666666666667
2007-06-11 00:12:00,10,0,0,3,3.816666666666667
2007-06-11 11:20:00,11,11,0,0,11.133333333333333
2007-06-12 00:28:00,12,0,1,3,13.133333333333333
2007-06-12 12:46:00,13,12,1,1,12.3
2007-06-13 18:34:00,10,18,2,2,29.8
2007-06-13 19:31:00,10,19,2,2,0.95
2007-06-13 22:59:00,12,22,2,2,3.466666666666667
2007-06-14 16:12:00,10,16,3,1,17.216666666666665
2007-06-14 16:38:00,11,16,3,1,0.43333333333333335
2007-06-15 02:33:00,13,2,4,3,9.916666666666666
2007-06-16 01:25:00,18,1,5,3,22.866666666666667
2007-06-16 19:42:00,10,19,5,2,18.283333333333335
2007-06-16 20:05:00,20,20,5,2,0.38333333333333336
2007-06-16 20:06:00,12,20,5,2,0.016666666666666666
2007-06-17 23:30:00,12,23,6,2,27.4
2007-06-18 00:27:00,11,0,0,3,0.95
2007-06-18 01:44:00,10,1,0,3,1.2833333333333334
2007-06-18 01:45:00,13,1,0,3,0.016666666666666666
2007-06-18 02:08:00,11,2,0,3,0.38333333333333336
2007-06-18 10:15:00,9,10,0,0,8.116666666666667
2007-06-18 10:59:00,32,10,0,0,0.7333333333333333
2007-06-18 11:32:00,9,11,0,0,0.55
2007-06-18 12:03:00,20,12,0,1,0.5166666666666667
2007-06-18 12:03:00,11,12,0,1,0.0
2007-06-18 19:17:00,9,19,0,2,7.233333333333333
2007-06-18 20:23:00,11,20,0,2,1.1
2007-06-18 23:16:00,11,23,0,2,2.8833333333333333
2007-06-19 16:10:00,12,16,1,1,16.9
2007-06-19 20:38:00,10,20,1,2,4.466666666666667
2007-06-19 21:33:00,10,21,1,2,0.9166666666666666
2007-06-19 23:40:00,18,23,1,2,2.1166666666666667
2007-06-19 23:43:00,11,23,1,2,0.05
2007-06-19 23:55:00,10,23,1,2,0.2
2007-06-20 00:13:00,13,0,2,3,0.3
2007-06-20 00:29:00,14,0,2,3,0.26666666666666666
2007-06-20 00:36:00,11,0,2,3,0.11666666666666667
2007-06-20 22:54:00,11,22,2,2,22.3
2007-06-20 23:35:00,12,23,2,2,0.6833333333333333
2007-06-21 02:37:00,11,2,3,3,3.033333333333333
2007-06-21 14:36:00,9,14,3,1,11.983333333333333
2007-06-21 23:49:00,9,23,3,2,9.216666666666667
2007-06-22 22:34:00,9,22,4,2,22.75
2007-06-22 22:43:00,10,22,4,2,0.15
2007-06-22 22:51:00,13,22,4,2,0.13333333333333333
2007-06-23 04:04:00,14,4,5,3,5.216666666666667
2007-06-23 18:12:00,14,18,5,2,14.133333333333333
2007-06-25 03:26:00,10,3,0,3,33.233333333333334
2007-06-26 14:22:00,11,14,1,1,34.93333333333333
2007-06-26 17:06:00,13,17,1,1,2.7333333333333334
2007-06-27 02:56:00,12,2,2,3,9.833333333333334
2007-06-27 04:11:00,10,4,2,3,1.25
2007-06-27 05:04:00,10,5,2,3,0.8833333333333333
2007-06-27 05:09:00,11,5,2,3,0.08333333333333333
2007-06-27 16:06:00,10,16,2,1,10.95
2007-06-27 21:28:00,11,21,2,2,5.366666666666666
2007-06-27 21:58:00,50,21,2,2,0.5
2007-06-28 20:45:00,11,20,3,2,22.783333333333335
2007-06-28 20:56:00,11,20,3,2,0.18333333333333332
2007-06-28 21:01:00,13,21,3,2,0.08333333333333333
2007-06-29 13:58:00,12,13,4,1,16.95
2007-06-29 22:51:00,11,22,4,2,8.883333333333333
2007-06-29 23:07:00,11,23,4,2,0.26666666666666666
2007-06-29 23:19:00,9,23,4,2,0.2
2007-06-30 13:55:00,16,13,5,1,14.6
2007-07-02 14:13:00,13,14,0,1,48.3
2007-07-02 22:19:00,12,22,0,2,8.1
2007-07-02 22:29:00,10,22,0,2,0.16666666666666666
2007-07-03 00:00:00,8,0,1,3,1.5166666666666666
2007-07-03 00:49:00,9,0,1,3,0.8166666666666667
2007-07-03 00:57:00,9,0,1,3,0.13333333333333333
2007-07-03 01:30:00,9,1,1,3,0.55
2007-07-03 15:15:00,9,15,1,1,13.75
2007-07-03 19:23:00,9,19,1,2,4.133333333333334
2007-07-03 19:25:00,12,19,1,2,0.03333333333333333
2007-07-04 00:46:00,10,0,2,3,5.35
2007-07-04 22:20:00,8,22,2,2,21.566666666666666
2007-07-04 22:55:00,10,22,2,2,0.5833333333333334
2007-07-05 12:57:00,11,12,3,1,14.033333333333333
2007-07-05 13:59:00,8,13,3,1,1.0333333333333334
2007-07-05 14:17:00,8,14,3,1,0.3
2007-07-05 21:17:00,11,21,3,2,7.0
2007-07-06 21:24:00,10,21,4,2,24.116666666666667
2007-07-06 21:35:00,8,21,4,2,0.18333333333333332
2007-07-06 22:38:00,13,22,4,2,1.05
2007-07-06 22:53:00,9,22,4,2,0.25
2007-07-06 22:54:00,9,22,4,2,0.016666666666666666
2007-07-06 22:55:00,10,22,4,2,0.016666666666666666
2007-07-06 22:55:00,11,22,4,2,0.0
2007-07-07 00:43:00,9,0,5,3,1.8
2007-07-07 00:46:00,9,0,5,3,0.05
2007-07-07 01:50:00,9,1,5,3,1.0666666666666667
2007-07-07 02:01:00,8,2,5,3,0.18333333333333332
2007-07-07 12:59:00,9,12,5,1,10.966666666666667
2007-07-07 14:20:00,11,14,5,1,1.35
2007-07-07 15:20:00,7,15,5,1,1.0
2007-07-07 19:58:00,8,19,5,2,4.633333333333334
2007-07-08 17:00:00,9,17,6,1,21.033333333333335
2007-07-08 18:52:00,8,18,6,2,1.8666666666666667
2007-07-08 19:50:00,10,19,6,2,0.9666666666666667
2007-07-08 22:44:00,9,22,6,2,2.9
2007-07-08 23:39:00,10,23,6,2,0.9166666666666666
2007-07-09 00:49:00,7,0,0,3,1.1666666666666667
2007-07-09 17:02:00,12,17,0,1,16.216666666666665
2007-07-09 19:20:00,9,19,0,2,2.3
2007-07-09 20:54:00,11,20,0,2,1.5666666666666667
